,cnn_intrsctn_fkey,cnn_sgmt_fkey,ped_action,number_injured,number_killed
500,33539000,8054201.0,No Pedestrian Involved,1,0.0
501,20614000,12598000.0,No Pedestrian Involved,2,0.0
502,27235000,,No Pedestrian Involved,1,0.0
503,30747000,,No Pedestrian Involved,1,0.0
504,20770000,,No Pedestrian Involved,1,0.0
505,24926000,5172000.0,Crossing in Crosswalk at Intersection,1,0.0
506,20485000,,No Pedestrian Involved,1,0.0
507,24679000,11543000.0,No Pedestrian Involved,1,0.0
508,24044000,3306000.0,No Pedestrian Involved,1,0.0
509,33027000,,No Pedestrian Involved,1,0.0
510,25144000,5176000.0,Not Stated,1,0.0
511,23555000,,No Pedestrian Involved,2,0.0
512,27366000,,"In Road, Including Shoulder",1,0.0
513,26027000,11686000.0,No Pedestrian Involved,1,0.0
514,26844000,,Not Stated,2,0.0
515,20065000,,No Pedestrian Involved,1,0.0
516,21901000,,No Pedestrian Involved,2,0.0
